1,Miguel de Cervantes,Don Quijote de la Mancha,Novela clásica,Francisco de Robles
2,Gabriel García Márquez,Cien años de soledad,Realismo mágico,Sudamericana
3,Isabel Allende,La casa de los espíritus,Realismo mágico,Plaza & Janés
4,Jorge Luis Borges,Ficciones,Cuento,Sur
5,Julio Cortázar,Rayuela,Novela experimental,Sudamericana
6,Mario Vargas Llosa,La ciudad y los perros,Novela,Seix Barral
7,Carlos Ruiz Zafón,La sombra del viento,Misterio,Planeta
8,Laura Esquivel,Como agua para chocolate,Realismo mágico,Planeta
9,Juan Rulfo,Pedro Páramo,Novela,Fondo de Cultura Económica
10,Federico García Lorca,Bodas de sangre,Teatro,Cruz y Raya
11,Arturo Pérez-Reverte,El club Dumas,Misterio,Alfaguara
12,Julia Navarro,Dime quién soy,Novela histórica,Plaza & Janés
13,Javier Marías,Corazón tan blanco,Novela,Anagrama
14,Roberto Bolaño,Los detectives salvajes,Novela,Anagrama
15,Almudena Grandes,Las edades de Lulú,Novela erótica,Tusquets
16,Camilo José Cela,La colmena,Novela,Emecé
17,Miguel Delibes,Los santos inocentes,Novela,Planeta
18,Ernesto Sabato,El túnel,Novela psicológica,Sur
19,Horacio Quiroga,Cuentos de amor de locura y de muerte,Cuento,Sociedad Cooperativa Editorial
20,Pablo Neruda,Veinte poemas de amor y una canción desesperada,Poesía,Nascimento
21,Benito Pérez Galdós,Fortunata y Jacinta,Realismo,La Guirnalda
22,Emilia Pardo Bazán,Los pazos de Ulloa,Naturalismo,Daniel Cortezo
23,Eduardo Galeano,Las venas abiertas de América Latina,Ensayo,Siglo XXI
24,Rosario Castellanos,Balún Canán,Novela,Fondo de Cultura Económica
25,Antonio Machado,Campos de Castilla,Poesía,Renacimiento
26,Gustavo Adolfo Bécquer,Rimas y Leyendas,Poesía,Librería de Gaspar y Roig
27,Pio Baroja,El árbol de la ciencia,Novela,Renacimiento
28,Carmen Laforet,Nada,Novela,Destino
29,Dolores Redondo,El guardián invisible,Thriller,Destino
30,Manuel Vázquez Montalbán,Los mares del Sur,Policial,Planeta
31,María Dueñas,El tiempo entre costuras,Novela histórica,Temas de Hoy
32,Matilde Asensi,El último Catón,Aventura,Plaza & Janés
33,Santiago Posteguillo,Africanus: el hijo del cónsul,Novela histórica,Ediciones B
34,Eva García Sáenz de Urturi,El silencio de la ciudad blanca,Thriller,Planeta
35,Ildefonso Falcones,La catedral del mar,Novela histórica,Grijalbo
36,Juan Gabriel Vásquez,El ruido de las cosas al caer,Novela,Alfaguara
37,Laura Restrepo,Delirio,Novela,Alfaguara
38,Fernando Aramburu,Patria,Novela,Tusquets
39,Mariana Enríquez,Nuestra parte de noche,Terror,Anagrama
40,Samanta Schweblin,Distancia de rescate,Novela corta,Almadía
41,Clarice Lispector,La hora de la estrella,Novela,Siruela
42,Luis Sepúlveda,Un viejo que leía novelas de amor,Novela,Tusquets
43,Jorge Edwards,Persona non grata,Memorias,Barral Editores
44,Alfonsina Storni,Languidez,Poesía,Biblioteca de La Nación
45,Gabriela Mistral,Desolación,Poesía,Instituto de las Españas
46,Octavio Paz,El laberinto de la soledad,Ensayo,Cuadernos Americanos
47,Alejo Carpentier,El siglo de las luces,Novela histórica,Compañía General de Ediciones
48,José Donoso,El obsceno pájaro de la noche,Novela,Seix Barral
49,Rosa Montero,La hija del caníbal,Novela,Espasa
50,Juan Gómez-Jurado,Reina Roja,Thriller,Ediciones B
